"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"1,Patrick van Aanholt\5f09991f,26,1.32,22,3,1,0,3,0.15,2,1,0,0"
"2,Tammy Abraham\f586779e,18,1.56,11,0,1,3,2,0.17,1,0,0,0"
"3,Che Adams\f2bf1b0f,66,2.23,48,0,1,6,8,0.27,7,0,0,0"
"4,Tosin Adarabioyo\c81d773d,17,0.52,16,0,0,1,1,0.03,1,0,0,0"
"5,Adrián\f76e6b4e,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"6,Sergio Agüero\4d034881,16,2.58,13,0,2,0,3,0.48,2,0,1,0"
"7,Ola Aina\246d153b,26,0.88,22,2,0,0,4,0.14,4,0,0,0"
"8,Rayan Aït Nouri\9b398aea,30,1.92,19,3,7,0,2,0.13,1,0,1,0"
"9,Semi Ajayi\d6192210,14,0.45,11,0,2,1,3,0.10,2,0,0,1"
"10,Nathan Aké\eaeca114,3,0.34,2,0,0,0,0,0.00,0,0,0,0"
"11,Marc Albrighton\b827d5b3,71,3.66,53,5,4,1,11,0.57,7,2,0,1"
"12,Thiago Alcántara\77e84962,61,2.96,51,2,3,2,2,0.10,2,0,0,0"
"13,Toby Alderweireld\f7d50789,19,0.76,16,0,0,3,3,0.12,3,0,0,0"
"14,Rúnar Alex Rúnarsson\8fa8f8d2,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"15,Trent Alexander-Arnold\cd1acf9d,123,3.65,78,32,7,6,13,0.39,10,2,0,1"
"16,Ezgjan Alioski\1a7fcf39,57,2.08,49,3,0,3,6,0.22,4,1,0,1"
"17,Alisson\7a2e46a8,5,0.15,5,0,0,0,0,0.00,0,0,0,0"
"18,Allan\cc700722,38,1.67,32,0,4,1,2,0.09,2,0,0,0"
"19,Dele Alli\cea4ee8f,22,3.19,18,0,0,1,3,0.44,2,0,0,1"
"20,Miguel Almirón\862a1c15,63,2.33,47,1,6,3,4,0.15,3,0,0,1"
"21,Marcos Alonso\f4290206,33,3.09,24,2,0,5,2,0.19,1,0,0,1"
