"Rk,Player,Cmp%,TotDist,PrgDist,Cmp%,Cmp%,Cmp%,KP,1/3,PPA,CrsPA,Prog"
"1,Patrick van Aanholt\5f09991f,78.9,14909,6947,88.7,81.3,52.0,11,68,26,4,112"
"2,Tammy Abraham\f586779e,68.3,2057,327,78.0,60.9,60.0,8,12,2,0,11"
"3,Che Adams\f2bf1b0f,70.0,7359,1633,75.2,77.7,69.9,34,27,25,2,61"
"4,Tosin Adarabioyo\c81d773d,87.4,37337,11928,89.4,94.8,73.6,5,68,5,1,73"
"5,Adrián\f76e6b4e,76.8,2031,1135,100.0,97.4,48.8,0,0,0,0,0"
"6,Sergio Agüero\4d034881,84.1,1867,285,87.2,87.5,100.0,6,11,6,1,12"
"7,Ola Aina\246d153b,77.7,25538,10322,90.1,86.1,48.0,14,98,15,9,98"
"8,Rayan Aït Nouri\9b398aea,83.7,10835,3074,91.9,89.1,50.6,13,30,14,5,46"
"9,Semi Ajayi\d6192210,74.3,15524,6590,85.3,81.8,53.7,5,67,4,0,64"
"10,Nathan Aké\eaeca114,93.0,12873,3534,96.7,93.8,82.2,1,60,2,0,36"
"11,Marc Albrighton\b827d5b3,68.8,11394,4629,83.3,80.2,42.2,39,51,42,16,87"
"12,Thiago Alcántara\77e84962,89.5,31595,8231,92.6,92.7,82.2,29,207,27,1,184"
"13,Toby Alderweireld\f7d50789,83.7,27127,7537,92.7,93.0,66.4,7,76,6,1,52"
"14,Rúnar Alex Rúnarsson\8fa8f8d2,63.6,126,51,100.0,100.0,0.0,0,0,0,0,0"
"15,Trent Alexander-Arnold\cd1acf9d,75.3,47515,19500,88.2,83.6,53.9,73,208,101,32,278"
"16,Ezgjan Alioski\1a7fcf39,80.1,22206,8320,89.5,85.8,49.5,27,82,32,13,114"
"17,Alisson\7a2e46a8,85.1,25310,13346,98.8,98.1,64.2,0,7,0,0,1"
"18,Allan\cc700722,85.8,16984,4349,92.0,89.3,72.5,16,91,15,1,82"
"19,Dele Alli\cea4ee8f,80.1,4654,1070,85.5,87.9,66.7,8,17,9,1,27"
"20,Miguel Almirón\862a1c15,81.1,12123,2700,89.1,85.2,60.6,28,56,26,7,65"
"21,Marcos Alonso\f4290206,81.6,8125,2867,89.5,86.3,54.8,12,19,8,2,49"
"22,Steven Alzate\ad1f61f3,89.5,6928,1321,91.1,94.5,83.3,10,33,6,0,35"
"23,Daniel Amartey\1a4ef233,85.8,7606,2362,93.2,88.3,72.6,0,19,1,0,25"
"24,Ethan Ampadu\10b9fa99,80.5,17276,5506,86.7,86.2,63.5,10,69,16,2,84"
"25,Joachim Andersen\e34fc66d,83.4,38236,11350,89.8,91.8,68.8,9,121,9,1,99"
"26,Elliot Anderson\de31038e,100.0,10,0,100.0,,,0,0,0,0,0"
"27,Felipe Anderson\9f1893b9,66.7,61,28,100.0,50.0,,0,0,0,0,2"
"28,Michail Antonio\ac05f970,66.5,5008,924,73.0,67.2,57.7,23,22,12,2,25"
"29,Alphonse Areola\2f965a72,73.6,20163,12032,100.0,98.8,48.7,0,6,0,0,0"
"30,Stuart Armstrong\97333cf5,79.7,16614,4712,85.3,86.3,66.9,34,90,40,5,116"
"31,Kepa Arrizabalaga\28d596a0,81.5,5209,2622,96.1,100.0,58.3,0,3,0,0,1"
"32,Pierre-Emerick Aubameyang\d5dd5f1f,75.0,7883,1507,81.4,76.9,54.9,22,18,27,9,50"
"33,Serge Aurier\5c2b4f07,80.6,12616,5171,90.1,79.6,58.6,12,29,20,6,61"
"34,Charlie Austin\8d228291,73.5,374,134,85.7,75.0,50.0,0,0,0,0,4"
"35,Jordan Ayew\da052c14,78.6,7192,1223,85.8,78.9,56.1,12,12,14,2,36"
"36,Luke Ayling\420d7c7d,79.3,42931,17225,88.3,86.9,57.8,25,177,35,12,203"
"37,César Azpilicueta\53cad200,87.5,30771,11059,93.3,91.6,59.2,26,130,25,5,116"
"38,Eric Bailly\a1232f4e,90.3,10384,3113,93.9,92.4,78.0,0,28,0,0,29"
"39,Fabián Balbuena\3626f7d9,76.8,8603,3296,87.5,87.8,57.8,0,33,0,0,30"
