"Rk,Player,Att 3rd,Att Pen,Succ,Att,Succ%,#Pl,Megs,PrgDist,Prog,1/3,CPA,Mis,Dis"
"1,Patrick van Aanholt\5f09991f,344,38,9,21,42.9,9,0,1907,114,30,9,13,16"
"2,Tammy Abraham\f586779e,166,66,6,19,31.6,6,2,252,13,5,4,26,13"
"3,Che Adams\f2bf1b0f,492,110,25,44,56.8,28,0,1169,67,27,10,74,52"
"4,Tosin Adarabioyo\c81d773d,73,34,8,11,72.7,9,0,3455,50,6,0,5,8"
"5,Adrián\f76e6b4e,0,0,0,0,,0,0,74,0,0,0,0,0"
"6,Sergio Agüero\4d034881,143,50,9,15,60.0,10,2,326,22,7,2,11,13"
"7,Ola Aina\246d153b,355,21,21,34,61.8,22,2,3336,114,35,5,20,15"
"8,Rayan Aït Nouri\9b398aea,322,29,37,61,60.7,38,2,2044,98,31,14,22,21"
"9,Semi Ajayi\d6192210,81,36,12,18,66.7,13,1,1761,29,10,0,11,13"
"10,Nathan Aké\eaeca114,83,5,0,0,,0,0,1847,70,27,0,3,2"
"11,Marc Albrighton\b827d5b3,504,44,30,60,50.0,32,3,1847,88,24,8,22,39"
"12,Thiago Alcántara\77e84962,460,18,28,42,66.7,30,1,3222,154,58,4,15,18"
"13,Toby Alderweireld\f7d50789,40,14,3,3,100.0,3,0,2473,49,5,0,2,2"
"14,Rúnar Alex Rúnarsson\8fa8f8d2,0,0,0,0,,0,0,30,0,0,0,0,0"
"15,Trent Alexander-Arnold\cd1acf9d,1206,86,38,67,56.7,41,4,5262,216,72,25,17,21"
"16,Ezgjan Alioski\1a7fcf39,548,46,15,25,60.0,16,7,3788,139,53,4,24,21"
"17,Alisson\7a2e46a8,1,1,3,3,100.0,3,0,1274,0,0,0,0,0"
"18,Allan\cc700722,151,3,28,43,65.1,29,1,2935,96,32,2,14,22"
"19,Dele Alli\cea4ee8f,143,23,10,22,45.5,12,3,732,33,16,4,9,18"
"20,Miguel Almirón\862a1c15,498,51,36,64,56.3,37,3,3272,126,57,11,41,43"
"21,Marcos Alonso\f4290206,270,46,7,14,50.0,7,0,1275,63,19,9,4,14"
"22,Steven Alzate\ad1f61f3,167,16,8,13,61.5,9,0,1030,49,14,4,11,14"
"23,Daniel Amartey\1a4ef233,38,7,1,5,20.0,1,0,732,13,5,0,4,3"
"24,Ethan Ampadu\10b9fa99,224,9,9,13,69.2,10,0,2737,98,35,0,14,7"
"25,Joachim Andersen\e34fc66d,94,22,7,7,100.0,7,0,4263,69,12,0,6,6"
"26,Elliot Anderson\de31038e,1,1,0,0,,0,0,1,0,0,0,0,0"
"27,Felipe Anderson\9f1893b9,3,1,0,0,,0,0,50,2,1,0,0,0"
"28,Michail Antonio\ac05f970,480,130,47,81,58.0,53,2,1848,107,33,27,77,57"
"29,Alphonse Areola\2f965a72,0,0,0,0,,0,0,998,0,0,0,1,0"
"30,Stuart Armstrong\97333cf5,577,66,56,98,57.1,59,1,4290,187,75,11,53,70"
