"Rk,Player,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK"
"1,Patrick van Aanholt\5f09991f,18,6,33.3,0.91,0.30,0.00,0.00,3"
"2,Tammy Abraham\f586779e,32,13,40.6,2.77,1.13,0.19,0.46,0"
"3,Che Adams\f2bf1b0f,56,31,55.4,1.89,1.05,0.16,0.29,0"
"4,Tosin Adarabioyo\c81d773d,20,5,25.0,0.61,0.15,0.00,0.00,0"
"5,Adrián\f76e6b4e,0,0,,0.00,0.00,,,0"
"6,Sergio Agüero\4d034881,17,10,58.8,2.74,1.61,0.18,0.30,0"
"7,Ola Aina\246d153b,14,4,28.6,0.47,0.14,0.14,0.50,1"
"8,Rayan Aït Nouri\9b398aea,16,6,37.5,1.03,0.38,0.06,0.17,0"
"9,Semi Ajayi\d6192210,13,4,30.8,0.42,0.13,0.15,0.50,0"
"10,Nathan Aké\eaeca114,3,1,33.3,0.34,0.11,0.33,1.00,0"
"11,Marc Albrighton\b827d5b3,21,9,42.9,1.08,0.46,0.05,0.11,0"
"12,Thiago Alcántara\77e84962,22,5,22.7,1.07,0.24,0.05,0.20,1"
"13,Toby Alderweireld\f7d50789,11,3,27.3,0.44,0.12,0.09,0.33,0"
"14,Rúnar Alex Rúnarsson\8fa8f8d2,0,0,,0.00,0.00,,,0"
"15,Trent Alexander-Arnold\cd1acf9d,56,11,19.6,1.66,0.33,0.04,0.18,16"
"16,Ezgjan Alioski\1a7fcf39,25,8,32.0,0.91,0.29,0.08,0.25,0"
"17,Alisson\7a2e46a8,1,1,100.0,0.03,0.03,1.00,1.00,0"
"18,Allan\cc700722,7,2,28.6,0.31,0.09,0.00,0.00,0"
"19,Dele Alli\cea4ee8f,12,4,33.3,1.74,0.58,0.00,0.00,0"
"20,Miguel Almirón\862a1c15,33,13,39.4,1.22,0.48,0.12,0.31,1"
"21,Marcos Alonso\f4290206,22,9,40.9,2.06,0.84,0.09,0.22,5"
"22,Steven Alzate\ad1f61f3,7,2,28.6,0.70,0.20,0.14,0.50,0"
"23,Daniel Amartey\1a4ef233,3,1,33.3,0.37,0.12,0.33,1.00,0"
"24,Ethan Ampadu\10b9fa99,7,2,28.6,0.30,0.09,0.00,0.00,0"
"25,Joachim Andersen\e34fc66d,13,3,23.1,0.43,0.10,0.08,0.33,1"
"26,Elliot Anderson\de31038e,0,0,,0.00,0.00,,,0"
"27,Felipe Anderson\9f1893b9,0,0,,0.00,0.00,,,0"
"28,Michail Antonio\ac05f970,64,23,35.9,2.92,1.05,0.16,0.43,0"
"29,Alphonse Areola\2f965a72,0,0,,0.00,0.00,,,0"
"30,Stuart Armstrong\97333cf5,54,12,22.2,1.76,0.39,0.07,0.33,0"
