"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"1,Patrick van Aanholt\5f09991f,DF,22,20,1777,19.7,1,0,0,2,0,1.2,1.2,0.8,2.0"
"2,Tammy Abraham\f586779e,FW,22,12,1040,11.6,1,6,0,0,0,6.4,6.4,0.9,7.3"
"3,Che Adams\f2bf1b0f,FW,36,30,2667,29.6,5,9,0,1,0,8.7,8.7,5.8,14.5"
"4,Tosin Adarabioyo\c81d773d,DF,33,33,2953,32.8,0,0,0,1,0,1.1,1.1,0.4,1.5"
"5,Adrián\f76e6b4e,GK,3,3,270,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"6,Sergio Agüero\4d034881,FWMF,12,7,559,6.2,1,3,1,0,0,3.4,1.8,1.3,3.1"
"7,Ola Aina\246d153b,DF,31,31,2664,29.6,1,2,0,3,0,1.0,1.0,1.4,2.3"
"8,Rayan Aït Nouri\9b398aea,DF,21,16,1404,15.6,1,1,0,1,0,0.6,0.6,1.0,1.6"
"9,Semi Ajayi\d6192210,DF,33,31,2780,30.9,0,2,0,3,1,1.3,1.3,0.3,1.5"
"10,Nathan Aké\eaeca114,DF,10,9,797,8.9,0,1,0,4,0,0.1,0.1,0.0,0.1"
"11,Marc Albrighton\b827d5b3,DFFW,31,17,1746,19.4,5,1,0,2,0,1.3,1.3,4.4,5.7"
"12,Thiago Alcántara\77e84962,MF,24,20,1854,20.6,0,1,0,4,0,1.4,1.4,2.3,3.7"
"13,Toby Alderweireld\f7d50789,DF,25,25,2240,24.9,0,1,0,2,0,0.8,0.8,0.3,1.2"
"14,Rúnar Alex Rúnarsson\8fa8f8d2,GK,1,0,16,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0"
"15,Trent Alexander-Arnold\cd1acf9d,DF,36,34,3031,33.7,7,2,0,2,0,2.8,2.8,8.1,10.8"
"16,Ezgjan Alioski\1a7fcf39,DF,36,29,2461,27.3,3,2,0,7,0,1.5,1.5,3.1,4.6"
"17,Alisson\7a2e46a8,GK,33,33,2970,33.0,0,1,0,1,0,0.1,0.1,0.0,0.1"
"18,Allan\cc700722,MF,24,23,2051,22.8,0,0,0,6,0,0.2,0.2,0.9,1.1"
"19,Dele Alli\cea4ee8f,MF,15,7,620,6.9,1,0,0,0,0,1.3,1.3,0.9,2.2"
"20,Miguel Almirón\862a1c15,MFFW,34,28,2429,27.0,1,4,0,3,0,3.2,3.2,2.8,5.9"
"21,Marcos Alonso\f4290206,DF,13,11,960,10.7,0,2,0,2,0,1.7,1.7,1.1,2.8"
"22,Steven Alzate\ad1f61f3,MFDF,15,10,896,10.0,0,1,0,2,0,0.7,0.7,0.5,1.1"
